r,rho,p,p_over_rho
0.4084799501437268,0.10812299595607712,0.014342925506455812,0.13265379283683879
0.4164893609308587,0.1067549796880055,0.01399958551448287,0.13113754089408344
0.42449877171799055,0.10539785132524794,0.013656444742646564,0.12957042834302238
0.43250818250512246,0.10405232218631776,0.01331368956461362,0.12795187348893486
0.4405175932922544,0.10271905170834562,0.012971498622431804,0.12628133152224094
0.4485270040793863,0.10139864885342358,0.012630042878091425,0.12455829560755523
0.4565364148665182,0.10009167359472772,0.012289485682925054,0.12278229788309182
0.46454582565365005,0.0987986384693011,0.011949982863364393,0.12095291036907876
0.47255523644078196,0.09752001018511951,0.011611682821607709,0.11906974578412755
0.48056464722791387,0.09625621127082336,0.01127472664979157,0.11713245826879021
0.4885740580150458,0.0950076217572748,0.010939248256306445,0.11514074401582228
0.49658346880217763,0.0937745808808764,0.010605374502945743,0.11309434180695459
0.5045928795893095,0.09255738879936314,0.010273225351631365,0.11099303345625555
0.5126022903764414,0.09135630831154484,0.00994291401951542,0.108836644160444
0.5206117011635734,0.09017156657322523,0.00961454714131595,0.10662504275677973
0.5286211119507053,0.08900335680225285,0.009288224937804655,0.10435814188942535
0.5366305227378372,0.0878518399663649,0.008964041389425189,0.10203589808542628
0.5446399335249691,0.0867171464481603,0.008642084414081774,0.09965831174170417
0.5526493443121009,0.08559937768218687,0.008322436048198776,0.09722542702469512
0.5606587550992328,0.08449860775974058,0.008005172630212335,0.09473733168449203
0.5686681658863647,0.08341488499755645,0.007690364985714496,0.09219415678556384
0.5766775766734966,0.08234823346711602,0.00737807861352862,0.08959607635633005
0.5846869874606285,0.08129865448180755,0.007068373872051453,0.08694330696005756
0.5926963982477604,0.0802661280396513,0.006761306165252294,0.08423610718972545
0.6007058090348923,0.07925061421974154,0.006456926127772657,0.08147477708966727
0.6087152198220243,0.07825205453096534,0.006155279808620825,0.07865965750694894
0.6167246306091562,0.07727037321192884,0.005856408853004476,0.07579112937557775
0.624734041396288,0.0763054784813638,0.005560350681890987,0.07286961293675655
0.6327434521834199,0.07535726373859489,0.005267138668929235,0.06989556689850489
0.6407528629705518,0.07442560871392727,0.004976802314408507,0.06686948753806024
0.6487622737576837,0.07351038056906475,0.004689367415969427,0.06379190775054762
0.6567716845448156,0.07261143494789107,0.004404856235818957,0.06066339604746913
0.6647810953319475,0.07172861697814473,0.0041232876642361685,0.05748455550861254
0.6727905061190794,0.07086176222469145,0.003844677379187825,0.054256022691010146
0.6807999169062113,0.07001069759524886,0.0035690380019029622,0.05097846649859932
0.6888093276933432,0.06917524219954836,0.0032963792482835793,0.04765258701624179
0.696818738480475,0.06835520816303006,0.003026708076054357,0.0442791143117512
